p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene,cluster
7.02E-05,-0.316197311,0.699,0.389,0.140476896,Ccl17,6
0.001369225,-0.266624228,0.847,0.721,1,Hspa1a,6
0.00152252,-0.271783085,1,0.989,1,Tnfaip2,6
0.004691716,-0.382506657,0.817,0.647,1,Ccl7,6
0.006640421,-0.253651405,1,0.986,1,Sdc4,6
0.016268316,-0.29837308,0.948,0.714,1,Cxcl1,6
0.039844672,-0.254818978,0.978,0.912,1,Dusp2,6
0.082393113,-0.26847204,1,0.908,1,Gpr183,6
0.091591466,-0.29402078,0.983,0.926,1,H2-M2,6
0.10723725,-0.385000128,0.991,0.94,1,Il1b,6
1.83E-07,0.298311931,0.396,0.64,0.000366103,Il17a,7
3.96E-07,-0.257630225,0.792,0.472,0.00079275,Hlf,7
7.74E-05,-0.384925748,0.717,0.386,0.154898932,Calca,7
0.000117462,-0.276491445,0.896,0.603,0.234923381,Areg,7
0.000290878,0.308017555,0.415,0.367,0.581755948,Il17f,7
0.000661564,-0.306316415,0.981,0.76,1,Mt1,7
0.012330761,-0.300010528,0.929,0.648,1,Penk,7
0.013449493,-0.299923118,0.807,0.757,1,Psme2,7
0.017777127,-0.331008601,0.962,0.944,1,Odc1,7
0.020066628,0.351677897,0.373,0.206,1,Klra4,7
1.58E-07,-0.254197884,0.837,0.547,0.000316085,Hist1h2bc,8
1.56E-06,-0.26570509,0.913,0.572,0.003122625,Socs2,8
1.97E-05,-0.274717909,0.957,0.565,0.039454823,Tsc22d1,8
0.000114429,-0.265600787,0.984,0.572,0.228857954,Mest,8
0.002795161,-0.29271526,0.962,0.547,1,Cd7,8
0.002941131,-0.25446956,0.826,0.568,1,Gpr65,8
0.004671517,-0.255828296,0.848,0.463,1,Cwc25,8
0.008879521,-0.263518332,0.859,0.537,1,Ssna1,8
0.008944668,-0.299560313,0.832,0.582,1,Id3,8
0.011244258,-0.258704227,0.848,0.646,1,Ddit4,8
0.000556816,0.255680431,1,0.944,1,Dsc3,9
0.001226346,-0.466297477,0.951,0.969,1,Jun,9
0.001759932,-0.329082922,0.588,0.616,1,Aldh3a1,9
0.001807378,-0.47095547,0.951,0.594,1,Ccl17,9
0.004237176,-0.27556067,0.902,0.766,1,Krt10,9
0.008772899,-0.302045021,0.52,0.475,1,Id1,9
0.009795222,-0.316461339,0.941,0.897,1,Cd52,9
0.011846467,-0.263101775,0.99,0.975,1,Pim1,9
0.011940828,-0.293042471,0.961,0.981,1,Fos,9
0.013488581,0.359833992,0.725,0.534,1,Gsta4,9
1.95E-05,0.308225071,0.644,0.172,0.038915988,Ccl20,10
5.09E-05,-0.455559436,0.902,0.551,0.101706626,Gzmc,10
0.007084241,-0.28228818,0.988,0.737,1,Ctsw,10
0.030758983,0.351724219,0.908,0.722,1,Cd69,10
0.032114887,-0.280789718,1,0.99,1,Ctla2a,10
0.115448308,0.269979065,0.607,0.338,1,Il17f,10
0.118857578,0.273543387,0.656,0.455,1,Ifi27l2a,10
0.12085863,-0.288172489,0.92,0.848,1,Icos,10
0.126757737,-0.362347412,0.988,0.818,1,Fos,10
0.180322516,-0.289557969,0.853,0.591,1,Cd81,10
1.83E-05,-0.283706554,0.981,0.624,0.036697393,Pf4,11
0.004627069,-0.594084371,0.458,0.436,1,Ifitm1,11
0.005569323,-0.363003553,0.776,0.436,1,Hspa1a,11
0.007940881,-0.306640257,1,0.718,1,Lyz1,11
0.024030709,-0.3256306,0.907,0.651,1,Ccl22,11
0.072043331,-0.733506861,0.963,0.772,1,Ccl4,11
0.118986713,-0.256838164,1,0.973,1,Cstb,11
0.156899772,-0.259203558,0.972,0.819,1,Plaur,11
0.212324673,-0.337976831,1,0.711,1,Mt2,11
0.285102894,-0.46627592,0.748,0.611,1,Klf2,11
2.66E-07,0.643146761,0.949,0.546,0.000532702,Il5,12
9.75E-05,-0.267726481,1,0.596,0.195093483,Cd207,12
0.000350871,0.627500776,0.337,0.213,0.70174181,Gzma,12
0.000411058,-0.391917437,0.867,0.603,0.822116176,Gm12840,12
0.002145917,-0.43657419,1,0.965,1,Batf,12
0.013534425,-0.276956535,0.98,0.83,1,Anxa1,12
0.025472123,-0.292426117,1,0.993,1,Pim1,12
0.0612361,-0.275801876,1,0.816,1,Cks2,12
0.06221932,-0.30242509,0.939,0.723,1,Cd83,12
0.064325593,-0.291401726,0.98,0.95,1,Rora,12
2.50E-09,-0.33926745,0.89,0.333,5.00E-06,Cthrc1,13
5.19E-09,-0.432575997,0.904,0.347,1.04E-05,Clu,13
1.22E-06,0.264188111,0.669,0.139,0.002438087,Mgl2,13
1.10E-05,0.599844661,0.743,0.264,0.0220344,Chil1,13
6.23E-05,0.44389814,0.787,0.472,0.124629988,Plek,13
7.03E-05,0.427520726,0.956,0.806,0.14066442,Il1b,13
7.40E-05,0.282505492,0.801,0.417,0.148019086,Csf2rb,13
9.00E-05,0.286304697,0.838,0.389,0.180010332,Flrt3,13
0.000165971,0.308543806,0.86,0.625,0.331942228,Spi1,13
0.000282764,0.331373405,0.654,0.139,0.565528116,Lilr4b,13
