"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nfix",3.03978366123113e-137,0.497195682320276,0.635,0.074,5.07735064935435e-133,"9","Nfix"
"Sdc1",3.84373089923346e-137,0.7801535872278,0.725,0.103,6.42018372098965e-133,"9","Sdc1"
"Wwtr1",2.29839852983001e-136,0.424502845535769,0.52,0.046,3.83901506437506e-132,"9","Wwtr1"
"Krt14",1.83008796693196e-135,3.5615000256659,0.995,0.474,3.05679593116646e-131,"9","Krt14"
"Mast41",1.22564989825053e-133,1.14201969163442,0.935,0.217,2.04720302504786e-129,"9","Mast4"
"Myo10",5.93717614096002e-133,0.518844910839596,0.68,0.089,9.91686530824552e-129,"9","Myo10"
"Krt17",1.40419755520399e-130,1.01517637736887,0.415,0.029,2.34543117645723e-126,"9","Krt17"
"Krtdap",1.69433278966136e-130,2.23976221821983,0.6,0.081,2.83004405857136e-126,"9","Krtdap"
"Epha2",2.98702183822092e-128,0.460425938857308,0.505,0.046,4.98922257638041e-124,"9","Epha2"
"Wnt4",1.33281131941663e-127,0.342120791622949,0.415,0.029,2.22619474682159e-123,"9","Wnt4"
"Lad1",1.49244896840714e-127,0.371681455203758,0.405,0.028,2.49283751193045e-123,"9","Lad1"
"Mt2",5.04663016744603e-127,1.81532904806023,0.99,0.337,8.42938636868511e-123,"9","Mt2"
"Jup",1.46308139973136e-126,1.02767604691965,0.915,0.228,2.44378486197129e-122,"9","Jup"
"Serpinb3b",5.82389004907212e-126,0.274097722502485,0.2,0.002,9.72764354896516e-122,"9","Serpinb3b"
"Prss23",8.1390291328302e-126,0.374059508715327,0.36,0.02,1.35946203605663e-121,"9","Prss23"
"Aldh3a1",1.25446346182303e-125,0.438989903235503,0.36,0.02,2.09533032028301e-121,"9","Aldh3a1"
"Ccl20",2.42045510108023e-125,1.02618856951629,0.35,0.02,4.0428861553343e-121,"9","Ccl20"
"F2rl1",1.07019257079485e-124,0.44402149174925,0.48,0.043,1.78754265099864e-120,"9","F2rl1"
"Prrg4",1.1775295307114e-124,0.307329902366426,0.355,0.02,1.96682757514724e-120,"9","Prrg4"
"Yap1",9.9307082642029e-123,0.280157230029182,0.4,0.028,1.65872620136981e-118,"9","Yap1"
"Rnd31",5.16614738989696e-122,0.683696269966684,0.75,0.125,8.62901598534489e-118,"9","Rnd3"
"Sfn",6.23063977307878e-122,2.65155217061158,0.995,0.597,1.04070376129735e-117,"9","Sfn"
"Tnfrsf12a",4.73835546465564e-120,1.23175303497756,0.91,0.248,7.91447513261432e-116,"9","Tnfrsf12a"
"Tacc2",1.20167882818031e-119,0.329846862767715,0.4,0.029,2.00716414670958e-115,"9","Tacc2"
"Hbegf",7.48098594205067e-119,0.551298037892343,0.605,0.077,1.24954908190072e-114,"9","Hbegf"
"Cttn",2.19396631442993e-116,0.319263148766852,0.47,0.044,3.66458193499231e-112,"9","Cttn"
"Moxd1",2.51921102978332e-116,0.256820233602404,0.28,0.011,4.20783818304708e-112,"9","Moxd1"
"Hspb8",1.05152108921194e-114,0.284585294888468,0.32,0.017,1.75635567531071e-110,"9","Hspb8"
"Stfa3",5.30695710880337e-112,0.451641752889789,0.29,0.014,8.86421045883427e-108,"9","Stfa3"
"Igsf3",2.09453454919641e-110,0.504983816590514,0.63,0.092,3.49850105752276e-106,"9","Igsf3"
"Apoe2",4.83559854368871e-105,1.97700675868261,0.98,0.502,8.07690024752325e-101,"9","Apoe"
"Cpne8",1.34884915113308e-104,0.31290812771439,0.385,0.032,2.25298273713759e-100,"9","Cpne8"
"Dst",9.72452794579839e-101,0.684893175619103,0.745,0.152,1.62428790278671e-96,"9","Dst"
"Tjp21",1.16265748290518e-100,0.588565278029026,0.675,0.122,1.94198679369652e-96,"9","Tjp2"
"Cxcl14",1.29443578340738e-100,0.467782308628254,0.36,0.029,2.16209608902535e-96,"9","Cxcl14"
"Bmp21",7.04916337839684e-100,0.541843827496973,0.51,0.063,1.17742175909362e-95,"9","Bmp2"
"Mapk13",1.10245713407126e-99,0.278740817419508,0.355,0.028,1.84143415103922e-95,"9","Mapk13"
"Gja1",9.29571747829177e-97,0.46378479443735,0.53,0.071,1.55266369039907e-92,"9","Gja1"
"Efna5",1.71968885987648e-96,0.254185099116941,0.33,0.024,2.87239630265168e-92,"9","Efna5"
"Nipal1",2.18529575200999e-96,0.407082943983387,0.445,0.05,3.65009949458228e-92,"9","Nipal1"
"Osmr",1.41574353583582e-95,0.256488779017425,0.34,0.026,2.36471642790657e-91,"9","Osmr"
"Efna1",1.61274488576236e-95,0.273529574373701,0.305,0.02,2.69376778268887e-91,"9","Efna1"
"Dstn",2.42883343545782e-94,1.21053283425745,0.97,0.513,4.0568804872452e-90,"9","Dstn"
"Met",5.38400688658838e-94,0.30093611846414,0.4,0.041,8.99290670266857e-90,"9","Met"
"Plek22",7.82663468103102e-94,0.490471016574942,0.61,0.099,1.30728279077261e-89,"9","Plek2"
"Krt1",1.2295578018659e-93,1.53550773872699,0.38,0.037,2.05373039645662e-89,"9","Krt1"
"Sema4b",2.46582860289283e-93,0.493500674076067,0.57,0.086,4.11867351541189e-89,"9","Sema4b"
"Epcam1",2.54876221796406e-93,0.955860336333014,0.845,0.221,4.25719753266538e-89,"9","Epcam"
"Ptprf",2.71783980667782e-91,0.361395019771773,0.555,0.083,4.53960782909395e-87,"9","Ptprf"
"Pou3f1",7.46383312567852e-91,0.289430029355247,0.33,0.027,1.24668404698208e-86,"9","Pou3f1"
"Hotairm1",2.2456099836406e-86,0.313621886356762,0.415,0.049,3.75084235567489e-82,"9","Hotairm1"
"Ocln1",6.05312768391769e-86,0.303359362281476,0.395,0.043,1.01105391704477e-81,"9","Ocln"
"Pard3",7.68001734952396e-86,0.260480852589458,0.36,0.035,1.28279329789099e-81,"9","Pard3"
"Tpbg1",3.6784294534482e-84,0.375315784473772,0.46,0.061,6.14408071609452e-80,"9","Tpbg"
"Pvrl2",5.23575437970359e-82,0.285947599183523,0.355,0.036,8.7452805404189e-78,"9","Pvrl2"
"Ggct",1.54900210114552e-81,0.481779645119123,0.45,0.063,2.58729820954337e-77,"9","Ggct"
"Rrs1",2.93738129084309e-81,0.507502131736352,0.73,0.165,4.90630797009521e-77,"9","Rrs1"
"Lima1",4.14580691314916e-81,0.418018730057699,0.5,0.076,6.92474128703304e-77,"9","Lima1"
"Tslp",2.72302895722127e-80,0.918338120724871,0.285,0.023,4.54827526724669e-76,"9","Tslp"
"Cldn11",1.75636787252951e-79,0.668628958135506,0.715,0.17,2.93366125748604e-75,"9","Cldn1"
"F11r1",2.99231173199062e-79,0.454891388429806,0.625,0.122,4.99805828594394e-75,"9","F11r"
"Ociad2",8.2560580704211e-79,0.269384772685327,0.28,0.022,1.37900937950244e-74,"9","Ociad2"
"Gm15987",3.90319544403054e-78,0.360176311536944,0.525,0.087,6.51950735016421e-74,"9","Gm15987"
"Dgcr6",5.57720645107677e-78,0.489776792019006,0.665,0.147,9.31560793523352e-74,"9","Dgcr6"
"Hivep3",5.18511778219758e-76,0.256613542543442,0.345,0.037,8.66070223160462e-72,"9","Hivep3"
"Rcan1",1.76399961354532e-75,0.41125701773804,0.48,0.075,2.94640855450476e-71,"9","Rcan1"
"Sbsn",2.49108739110494e-75,0.576456772270606,0.34,0.037,4.16086326936257e-71,"9","Sbsn"
"Ppif",3.82408945258024e-74,0.456602631009395,0.45,0.068,6.38737661264478e-70,"9","Ppif"
"Acsbg1",4.1865658022031e-74,0.271557099068477,0.385,0.047,6.99282085941984e-70,"9","Acsbg1"
"Nppb",6.84884997916313e-74,0.416539011331036,0.135,0.003,1.14396341201962e-69,"9","Nppb"
"Fst",1.58382522161775e-73,1.30321086066118,0.35,0.042,2.64546326766813e-69,"9","Fst"
"Mmp13",2.80123598369787e-73,0.817658247544056,0.29,0.028,4.67890446357055e-69,"9","Mmp13"
"Cib2",3.58267891718267e-73,0.326408974773023,0.42,0.06,5.98414859537022e-69,"9","Cib2"
"A130010J15Rik",5.70916392643373e-73,0.312998070861879,0.35,0.04,9.53601650632225e-69,"9","A130010J15Rik"
"Grwd1",3.10937922277351e-72,0.299546742444845,0.475,0.076,5.19359611579859e-68,"9","Grwd1"
"Zak",1.98487741656504e-71,0.277574952016342,0.38,0.049,3.31534074888859e-67,"9","Zak"
"Mt4",3.74555623924226e-71,0.51128996807897,0.18,0.008,6.25620258640635e-67,"9","Mt4"
"Cav2",4.74782006572116e-71,0.369295826175992,0.51,0.092,7.93028385577405e-67,"9","Cav2"
"Hmgn1",9.32133281172485e-71,0.89562493561987,0.95,0.555,1.5569422195424e-66,"9","Hmgn1"
"Mt11",1.04876302202165e-70,1.21330528853518,0.99,0.589,1.75174887568276e-66,"9","Mt1"
"Cep170b",1.3529558654044e-70,0.258108419819594,0.43,0.063,2.25984218198498e-66,"9","Cep170b"
"Sh3pxd2a",2.36230698673424e-70,0.278147108697397,0.385,0.051,3.9457613599422e-66,"9","Sh3pxd2a"
"Nfia",6.14501570982309e-69,0.333419115936235,0.365,0.047,1.02640197401175e-64,"9","Nfia"
"Adrb21",6.6249922540877e-69,0.581325704555145,0.625,0.139,1.10657245620027e-64,"9","Adrb2"
"Arid5b",1.75172138037803e-68,0.603901512530214,0.71,0.184,2.92590022164542e-64,"9","Arid5b"
"Id31",2.11444797757034e-68,0.731634709175555,0.785,0.226,3.53176245693575e-64,"9","Id3"
"Net1",5.64733182110995e-68,0.35426033566502,0.61,0.129,9.43273834079995e-64,"9","Net1"
"Erc1",1.72750014652666e-67,0.325719034742079,0.44,0.07,2.88544349474348e-63,"9","Erc1"
"Cav1",4.54541855499532e-67,0.250159840191457,0.385,0.052,7.59221261240868e-63,"9","Cav1"
"Ppp1r14b",1.60575400911886e-66,0.643206354522753,0.85,0.297,2.68209092143123e-62,"9","Ppp1r14b"
"Tmem158",2.14491576000995e-66,0.364201613695201,0.51,0.094,3.58265279394462e-62,"9","Tmem158"
"Cltb",3.76038853129303e-66,0.838592148036671,0.905,0.438,6.28097696381875e-62,"9","Cltb"
"Rcn1",2.54280409392098e-65,0.259473733876548,0.365,0.049,4.24724567807621e-61,"9","Rcn1"
"Lancl1",2.60328416478574e-65,0.309772682489696,0.475,0.084,4.34826554044162e-61,"9","Lancl1"
"Srm",8.00018637555382e-65,0.394221632869152,0.63,0.144,1.33627113030875e-60,"9","Srm"
"Pqlc1",9.28814004032267e-65,0.522729115843095,0.8,0.237,1.5513980309351e-60,"9","Pqlc1"
"Krt10",9.90790287342486e-65,1.98465460349221,0.54,0.116,1.65491701694815e-60,"9","Krt10"
"Cd3eap",6.99535475802774e-64,0.264642443195428,0.425,0.068,1.16843410523337e-59,"9","Cd3eap"
"Casz1",7.07683757362562e-64,0.298408441184326,0.315,0.038,1.18204417992269e-59,"9","Casz1"
"Gsta4",1.97885202469397e-63,0.261185955137637,0.18,0.01,3.30527653684634e-59,"9","Gsta4"
"Jun1",3.37106327990812e-63,0.95068006025746,0.905,0.381,5.63068699643054e-59,"9","Jun"
"Rplp01",7.31199432812904e-63,0.66112415526257,1,0.999,1.22132241262739e-58,"9","Rplp0"
"Rap2b",7.76837890401577e-63,0.875316278539195,0.855,0.316,1.29755232833775e-58,"9","Rap2b"
"Wdr43",8.86352112034832e-63,0.606741671603492,0.81,0.273,1.48047393273178e-58,"9","Wdr43"
"Tceal8",6.2439915222956e-62,0.357471146464827,0.515,0.103,1.04293390396903e-57,"9","Tceal8"
"Cd91",8.6846048106305e-62,0.950512277634091,0.975,0.654,1.45058954151961e-57,"9","Cd9"
"Fam213a",2.72138313625424e-61,0.517469269926816,0.485,0.097,4.54552625248545e-57,"9","Fam213a"
"Nckap1",2.94305142073105e-60,0.342877289238532,0.585,0.133,4.91577878804708e-56,"9","Nckap1"
"Phlda11",4.25046818914658e-60,1.19112335896426,0.93,0.522,7.09955701633153e-56,"9","Phlda1"
"Ccdc71l1",1.8772988211812e-59,0.987579400900708,0.765,0.289,3.13565222101895e-55,"9","Ccdc71l"
"Il13ra1",2.13330053287146e-59,0.393205213167359,0.6,0.143,3.5632518800552e-55,"9","Il13ra1"
"Gcat",1.08321693259349e-58,0.309798043873629,0.44,0.079,1.80929724251091e-54,"9","Gcat"
"Ppp2r3a",4.06989474604892e-58,0.330169043887518,0.575,0.133,6.79794519432551e-54,"9","Ppp2r3a"
"Gnl3",5.01752559651602e-58,0.624999665046596,0.825,0.313,8.38077300386071e-54,"9","Gnl3"
"Sox9",1.60984492407241e-57,0.422697056329084,0.18,0.012,2.68892397667815e-53,"9","Sox9"
"Golim4",1.68978611046845e-57,0.284695597619369,0.485,0.095,2.82244974031544e-53,"9","Golim4"
"Crip2",2.69683428946026e-57,0.740290456288941,0.82,0.322,4.50452231368548e-53,"9","Crip2"
"Tsc22d21",4.02078499047602e-57,0.586060601700692,0.805,0.28,6.71591716959209e-53,"9","Tsc22d2"
"Grpel2",5.49301129617986e-57,0.280599198034207,0.49,0.098,9.17497676800923e-53,"9","Grpel2"
"Dusp61",8.55704203309825e-57,0.289758433526737,0.375,0.059,1.4292827307884e-52,"9","Dusp6"
"Syne21",2.32520572724769e-56,0.458361348943509,0.78,0.24,3.88379112622182e-52,"9","Syne2"
"Ybx3",1.35808254061639e-55,0.531979883004468,0.825,0.3,2.26840526759156e-51,"9","Ybx3"
"Bod1",2.53139007101194e-55,0.250302474536412,0.43,0.081,4.22818083561125e-51,"9","Bod1"
"Sgms1",3.17040533319009e-55,0.393930315697623,0.585,0.144,5.2955280280274e-51,"9","Sgms1"
"Gm87301",4.26460468461375e-55,0.745503184662446,0.97,0.944,7.12316920471034e-51,"9","Gm8730"
"Slc25a251",1.89213817163199e-54,0.336646889856663,0.59,0.145,3.16043838807691e-50,"9","Slc25a25"
"Lmo11",1.95956303519529e-53,0.313187637908732,0.52,0.116,3.2730581376867e-49,"9","Lmo1"
"Pkp3",2.62942591869264e-53,0.492328398661473,0.79,0.261,4.39193011199232e-49,"9","Pkp3"
"Prnp1",1.12076470790798e-52,0.444229961116253,0.79,0.27,1.87201329161869e-48,"9","Prnp"
"Noct",1.20452645594401e-51,0.487236755662804,0.655,0.192,2.01192053936328e-47,"9","Noct"
"Krt6a",1.82594139353906e-51,0.682539894879061,0.195,0.017,3.04986990962829e-47,"9","Krt6a"
"Lamb31",2.85320732834601e-51,0.41127536052014,0.675,0.195,4.76571220053634e-47,"9","Lamb3"
"Tmcc3",6.89464814294623e-51,0.459962123376683,0.63,0.185,1.15161307931631e-46,"9","Tmcc3"
"Gstm1",1.40045292811294e-50,0.390795339296558,0.585,0.151,2.33917652582705e-46,"9","Gstm1"
"Ccdc86",1.41512794375612e-50,0.309106783319049,0.555,0.138,2.36368820445584e-46,"9","Ccdc86"
"Abl2",1.96713297464687e-50,0.314822922305357,0.61,0.163,3.28570220755267e-46,"9","Abl2"
"Gar1",2.56509713571664e-50,0.386074157446523,0.68,0.2,4.2844817457875e-46,"9","Gar1"
"Wls",4.08725512478939e-50,0.332505455732191,0.64,0.174,6.82694223493572e-46,"9","Wls"
"Klf91",5.84624367123491e-50,0.362275598205478,0.575,0.147,9.76498080406368e-46,"9","Klf9"
"Wdr77",8.88302583008484e-50,0.276661339293763,0.47,0.102,1.48373180439907e-45,"9","Wdr77"
"Nifk",1.31522549132897e-49,0.412796301214957,0.675,0.204,2.19682113816678e-45,"9","Nifk"
"Pkp4",4.63259468020958e-49,0.253997314769926,0.505,0.117,7.73782289435406e-45,"9","Pkp4"
"Wdr61",1.19960449764812e-48,0.428329296500676,0.76,0.25,2.00369939242165e-44,"9","Wdr61"
"Slc44a1",2.33455067156401e-48,0.262714632264912,0.485,0.111,3.89939998671337e-44,"9","Slc44a1"
"Smad1",2.75724855190754e-48,0.274718361979819,0.425,0.088,4.60543225625117e-44,"9","Smad1"
"Top11",3.66051332925188e-48,0.72490040051872,0.96,0.673,6.11415541384941e-44,"9","Top1"
"Postn",1.10166740244046e-47,0.300613179443476,0.285,0.042,1.8401150622963e-43,"9","Postn"
"Sprr1a",1.84578689584047e-47,0.628163506354235,0.19,0.018,3.08301785212233e-43,"9","Sprr1a"
"Kti12",2.01263012090192e-47,0.264645402539942,0.475,0.107,3.36169609094248e-43,"9","Kti12"
"Hs3st1",8.54655307938319e-47,0.277432286064448,0.27,0.038,1.42753076084937e-42,"9","Hs3st1"
"Rrp15",9.35813282880637e-47,0.326241338761659,0.535,0.137,1.56308892639553e-42,"9","Rrp15"
"Phgdh",2.00244891823963e-46,0.308685678920674,0.57,0.147,3.34469042813565e-42,"9","Phgdh"
"Rps19",2.87351450450913e-46,0.402611346966794,1,0.999,4.7996312768816e-42,"9","Rps19"
"Scin1",4.04319839216598e-46,0.290613265526007,0.51,0.124,6.75335427443484e-42,"9","Scin"
"Mgst3",3.01206199546942e-45,0.426505307763923,0.645,0.206,5.03104715103257e-41,"9","Mgst3"
"Tpm1",7.81626448812342e-45,0.504830171211398,0.76,0.276,1.30555065745125e-40,"9","Tpm1"
"Mpp5",9.05006509706065e-45,0.274168334913592,0.47,0.113,1.51163237316204e-40,"9","Mpp5"
"Anxa1",1.72610049963927e-44,0.935979579888965,0.95,0.629,2.88310566454748e-40,"9","Anxa1"
"Rps182",2.26959362811797e-44,0.429879636519129,1,0.999,3.79090223704544e-40,"9","Rps18"
"Nedd4",6.6093758335067e-44,0.344448257442364,0.7,0.225,1.10396404547062e-39,"9","Nedd4"
"Cd24a1",9.98224757934809e-44,0.29995268913314,0.65,0.192,1.66733481317851e-39,"9","Cd24a"
"Yrdc",2.47158517926469e-43,0.463616302549211,0.8,0.313,4.12828872492581e-39,"9","Yrdc"
"Rpl132",2.5489470183066e-43,0.433728343635535,1,0.998,4.25750620467752e-39,"9","Rpl13"
"Srf",2.63179371336999e-43,0.30797086010658,0.46,0.113,4.3958850394419e-39,"9","Srf"
"Nop58",5.47439331364879e-43,0.441106255133559,0.78,0.297,9.14387915178758e-39,"9","Nop58"
"Atl2",2.69111228892707e-42,0.278520384851339,0.53,0.141,4.49496485619488e-38,"9","Atl2"
"Tmem65",2.97478998356758e-41,0.268207167990821,0.615,0.183,4.96879170955293e-37,"9","Tmem65"
"App3",1.86291599245637e-40,0.426526234385506,0.805,0.314,3.11162858219987e-36,"9","App"
"Rps281",2.39902169921184e-40,0.379496308307109,0.99,0.996,4.00708594419353e-36,"9","Rps28"
"Gadd45a",3.8484962724311e-40,0.47887547186977,0.58,0.181,6.42814332384166e-36,"9","Gadd45a"
"Thbs12",1.04169886372617e-39,0.679870707389481,0.835,0.37,1.73994961208182e-35,"9","Thbs1"
"Zfp593",1.69269406384653e-39,0.320190879631856,0.645,0.209,2.82730689484286e-35,"9","Zfp593"
"Errfi11",4.07403199426538e-39,0.563293023438961,0.93,0.527,6.80485564002146e-35,"9","Errfi1"
"Spint2",1.23208353220249e-38,0.414005160690559,0.76,0.296,2.05794912383781e-34,"9","Spint2"
"Sowahc1",2.47374961104353e-38,0.319097992555558,0.57,0.175,4.131903975326e-34,"9","Sowahc"
"Stx31",1.2242413749055e-37,0.296801344288727,0.56,0.171,2.04485036850466e-33,"9","Stx3"
"Gsto1",1.96380201185157e-37,0.377256477293506,0.725,0.279,3.28013850039568e-33,"9","Gsto1"
"Ckap41",2.03551599308475e-37,0.318854097878606,0.58,0.184,3.39992236324946e-33,"9","Ckap4"
"Zdhhc21",2.88701534259111e-37,0.320813954562007,0.63,0.204,4.82218172672993e-33,"9","Zdhhc21"
"Rps121",4.70937112849899e-37,0.452719460473157,0.98,0.955,7.86606259593186e-33,"9","Rps12"
"Gng121",5.89615194358576e-37,0.331988954808069,0.755,0.281,9.84834259137129e-33,"9","Gng12"
"Acpp1",1.61830938036155e-36,0.296798613034761,0.65,0.219,2.7030621580179e-32,"9","Acpp"
"Rps8",2.09747867111693e-36,0.406981600483995,1,0.996,3.50341862436662e-32,"9","Rps8"
"Mllt41",4.94409310248877e-36,0.25500805343241,0.52,0.154,8.25811870908699e-32,"9","Mllt4"
"Ndufaf4",5.78319166089234e-36,0.267938293705354,0.525,0.157,9.65966503118847e-32,"9","Ndufaf4"
"Larp1b",1.02776061287952e-35,0.270773910839857,0.575,0.182,1.71666855169266e-31,"9","Larp1b"
"Map1lc3a1",1.28544213166065e-35,0.427288137705856,0.92,0.498,2.14707399251278e-31,"9","Map1lc3a"
"Ssbp21",3.71423148432479e-35,0.372206626066914,0.71,0.269,6.2038808482677e-31,"9","Ssbp2"
"Arl4a",5.85435632543499e-35,0.422841283310027,0.77,0.326,9.77853137037407e-31,"9","Arl4a"
"Hras",6.32260461132857e-35,0.423123057537681,0.745,0.31,1.05606464823021e-30,"9","Hras"
"Pxdc14",1.13592774371545e-34,0.701335092409747,0.915,0.577,1.89734011032791e-30,"9","Pxdc1"
"Arhgap51",1.39319775435602e-34,0.322020859479986,0.72,0.276,2.32705820910086e-30,"9","Arhgap5"
"Luzp1",2.17157691337978e-34,0.332182794517292,0.71,0.27,3.62718491841824e-30,"9","Luzp1"
"Golga4",5.02640110235662e-34,0.279297776939845,0.68,0.242,8.39559776126626e-30,"9","Golga4"
"Sdc42",1.38284835699236e-33,0.491373553910335,0.955,0.573,2.30977161068434e-29,"9","Sdc4"
"Nolc1",2.82783648806741e-33,0.31712462957715,0.715,0.274,4.72333528601899e-29,"9","Nolc1"
"Naa15",2.92637953741947e-33,0.358491763755216,0.82,0.356,4.88793174135175e-29,"9","Naa15"
"Rpl36a2",3.74180964674613e-33,0.393615571840781,0.995,0.967,6.24994465296006e-29,"9","Rpl36a"
"Myc",4.44446494087237e-33,0.255365317657091,0.435,0.12,7.42358979073912e-29,"9","Myc"
"Anxa7",6.51963050990674e-33,0.41508299874712,0.835,0.394,1.08897388406972e-28,"9","Anxa7"
"Ncl1",9.83618007889876e-33,0.469606098356889,0.985,0.849,1.64293715857846e-28,"9","Ncl"
"Csnk1a1",1.51207622916955e-32,0.45617285621831,0.96,0.674,2.5256209255819e-28,"9","Csnk1a1"
"Rps26",2.04642710013864e-32,0.394427602020175,1,0.982,3.41814718536156e-28,"9","Rps26"
"Rpl28",2.80162435324425e-32,0.37997226200496,1,0.972,4.67955315722387e-28,"9","Rpl28"
"1700025G04Rik",9.22450984172826e-32,0.270176799909198,0.675,0.249,1.54076987886387e-27,"9","1700025G04Rik"
"Uchl3",1.22976178659952e-31,0.267392681131412,0.605,0.208,2.05407111215718e-27,"9","Uchl3"
"Rps12-ps32",1.84738948959439e-31,0.462634438844962,0.97,0.847,3.08569466446952e-27,"9","Rps12-ps3"
"Rps172",2.01522473228771e-31,0.37822247577933,1,0.977,3.36602987034016e-27,"9","Rps17"
"Egr1",2.37904013130523e-31,0.354163190889457,0.69,0.268,3.97371073131912e-27,"9","Egr1"
"Bicd2",2.6559006005622e-31,0.271703746845889,0.55,0.182,4.43615077311904e-27,"9","Bicd2"
"Serpinb6a",5.53080519885483e-31,0.27756119403108,0.655,0.243,9.23810392364722e-27,"9","Serpinb6a"
"Rpl363",5.67511489172444e-31,0.33449716104054,0.99,0.993,9.47914440364734e-27,"9","Rpl36"
"Rpl37",6.99302939218434e-31,0.299296008070814,1,0.998,1.16804569937655e-26,"9","Rpl37"
"Rps52",7.37647199179043e-31,0.335908329278933,1,0.997,1.23209211678876e-26,"9","Rps5"
"Kcmf1",9.81987815260943e-31,0.383675970361774,0.735,0.327,1.64021424783035e-26,"9","Kcmf1"
"Flnb1",4.87476366530379e-30,0.306327004589135,0.75,0.311,8.14231775015692e-26,"9","Flnb"
"Strn3",4.9113263837834e-30,0.305692591701738,0.685,0.27,8.20338845883342e-26,"9","Strn3"
"Rpl142",6.28446027267822e-30,0.329487962004873,1,0.992,1.04969339934544e-25,"9","Rpl14"
"Rps22",8.29922442446417e-30,0.36380920360578,1,0.991,1.38621945561825e-25,"9","Rps2"
"Mef2a",3.55127227335405e-29,0.301298237783667,0.745,0.306,5.93169007818327e-25,"9","Mef2a"
"Actn4",3.7533030149582e-29,0.398924226299919,0.88,0.48,6.26914202588468e-25,"9","Actn4"
"Rpl61",3.84053083251548e-29,0.347619690264381,1,0.995,6.41483864955061e-25,"9","Rpl6"
"Srpk21",5.43930449860225e-29,0.343506802464859,0.77,0.335,9.08527030401534e-25,"9","Srpk2"
"Rps3a12",5.6449202582738e-29,0.349541164568505,1,0.995,9.42871030739473e-25,"9","Rps3a1"
"Llph",6.42295424906336e-29,0.450171880066739,0.895,0.542,1.07282604822105e-24,"9","Llph"
"Cst6",7.22214260065276e-29,0.263859297504351,0.135,0.015,1.20631447858703e-24,"9","Cst6"
"Rock2",1.37323117299719e-28,0.276898433089083,0.7,0.283,2.2937080282572e-24,"9","Rock2"
"Mark31",1.9723852989878e-28,0.264636158009941,0.61,0.232,3.29447516489933e-24,"9","Mark3"
"Nip7",6.02046443027782e-28,0.271935736285518,0.695,0.285,1.0055981737893e-23,"9","Nip7"
"Pdlim5",1.09172557599887e-27,0.292822329959939,0.58,0.22,1.82350922959092e-23,"9","Pdlim5"
"Srsf61",1.31249713805218e-27,0.469684433151969,0.9,0.566,2.19226396968855e-23,"9","Srsf6"
"Cxcl162",2.19651830380317e-27,0.342190136206532,0.89,0.471,3.66884452284243e-23,"9","Cxcl16"
"Rpl43",4.63975932863803e-27,0.358884641947676,1,0.985,7.7497900066241e-23,"9","Rpl4"
"Snhg9",4.80861637431998e-27,0.272646120469844,0.575,0.212,8.03183193002667e-23,"9","Snhg9"
"Set",7.44221851545894e-27,0.420718246787645,0.955,0.723,1.24307375863711e-22,"9","Set"
"Twistnb",8.29441438197406e-27,0.264800081499173,0.71,0.294,1.38541603422113e-22,"9","Twistnb"
"Rpl10a1",8.38126392908564e-27,0.411014505316996,0.995,0.972,1.39992251407518e-22,"9","Rpl10a"
"Cast",1.42597352624867e-26,0.319455183322609,0.785,0.364,2.38180358089316e-22,"9","Cast"
"Med13",1.6777573269276e-26,0.275254872861359,0.67,0.278,2.80235806316717e-22,"9","Med13"
"Naa50",1.75543597097494e-26,0.342135548789279,0.87,0.442,2.93210470231944e-22,"9","Naa50"
"mt-Nd4",2.90056808292647e-26,0.389075901702328,0.985,0.949,4.84481886891208e-22,"9","mt-Nd4"
"Rps202",3.10822493860084e-26,0.297249030632551,1,0.985,5.19166811494499e-22,"9","Rps20"
"Nhp2",3.13028519146206e-26,0.38174730752724,0.84,0.43,5.22851535529907e-22,"9","Nhp2"
"Sfr1",4.1694826111657e-26,0.458319331057078,0.92,0.633,6.96428680543007e-22,"9","Sfr1"
"Itgb1",5.49566032026609e-26,0.515145214097289,0.875,0.526,9.17940143294045e-22,"9","Itgb1"
"Arl5b",5.70469904152643e-26,0.290224205519276,0.745,0.325,9.5285588090616e-22,"9","Arl5b"
"Kcnq1ot1",6.02048880094118e-26,0.287416155548612,0.53,0.191,1.0056022444212e-21,"9","Kcnq1ot1"
"Cdv31",6.35983373570283e-26,0.417129225520166,0.93,0.615,1.06228302887444e-21,"9","Cdv3"
"Sertad2",8.24404218695474e-26,0.352305236622369,0.795,0.401,1.37700236648705e-21,"9","Sertad2"
"Oxct11",2.02836159354315e-25,0.270093051786799,0.7,0.296,3.38797236969512e-21,"9","Oxct1"
"Rpl151",2.64819366855147e-25,0.324492773992063,0.98,0.981,4.42327788458151e-21,"9","Rpl15"
"Ddx211",4.05513215338125e-25,0.397034963234481,0.95,0.626,6.7732872357927e-21,"9","Ddx21"
"Rpl123",5.92876721584213e-25,0.364171951094455,0.99,0.945,9.90281988062111e-21,"9","Rpl12"
"Nfe2l1",7.79323290238785e-25,0.250730706961633,0.67,0.281,1.30170369168584e-20,"9","Nfe2l1"
"Rplp12",7.88824961946916e-25,0.280971956690873,1,0.996,1.31757433393993e-20,"9","Rplp1"
"Rps152",1.89861662925806e-24,0.273213452470574,1,0.989,3.17125935584974e-20,"9","Rps15"
