"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100a111",3.81139471925956e-18,0.348306266268625,0.99,0.974,6.36617259957925e-14,"6","S100a11"
"Arhgap17",6.17665224437346e-18,0.272153292351254,0.54,0.249,1.0316862243777e-13,"6","Arhgap17"
"Atp6v0d11",6.55058383796449e-18,0.313127653065629,0.88,0.544,1.09414401845521e-13,"6","Atp6v0d1"
"Ptk2b1",7.39932380191074e-18,0.284678775141386,0.81,0.46,1.23590905463315e-13,"6","Ptk2b"
"Tsc22d11",8.68826465741006e-18,0.285229049616111,0.85,0.536,1.4512008457272e-13,"6","Tsc22d1"
"Tmem1892",9.94180327551061e-18,0.318269767574035,0.825,0.497,1.66057940110854e-13,"6","Tmem189"
"Grn3",1.00231122948274e-17,0.333017108293759,0.87,0.517,1.67416044660502e-13,"6","Grn"
"Gm2a1",1.02121112163819e-17,0.323211048986002,0.945,0.638,1.70572893647226e-13,"6","Gm2a"
"Ptms1",1.41554949259123e-17,0.321533504917697,0.96,0.711,2.36439231747513e-13,"6","Ptms"
"Zfp36l11",1.51546682544671e-17,0.328792779558189,0.95,0.733,2.53128423854364e-13,"6","Zfp36l1"
"Lats21",3.53944296223693e-17,0.288529588307916,0.85,0.507,5.91193157982434e-13,"6","Lats2"
"Ifi303",3.96794299498135e-17,0.320368794411697,0.76,0.419,6.62765518451734e-13,"6","Ifi30"
"Higd2a",1.53178791747665e-16,0.333402551310591,0.84,0.538,2.55854535856125e-12,"6","Higd2a"
"Rasgef1b",1.99200721368061e-16,0.261205792309988,0.505,0.227,3.32724964901071e-12,"6","Rasgef1b"
"Vamp82",2.25876316544889e-16,0.318252097084683,0.93,0.676,3.77281211524929e-12,"6","Vamp8"
"Rap1b",2.31897162062965e-16,0.284431194340695,0.99,0.897,3.87337829793771e-12,"6","Rap1b"
"Calm1",2.85581361181172e-16,0.283508548000672,1,0.986,4.77006547580911e-12,"6","Calm1"
"Atp6v1g12",2.92360076314783e-16,0.310042080701198,0.945,0.73,4.88329035468582e-12,"6","Atp6v1g1"
"Atp6v0b2",5.01069556411032e-16,0.326058698485202,0.935,0.696,8.36936480073347e-12,"6","Atp6v0b"
"Runx31",8.919687403527e-15,0.308013511883829,0.89,0.593,1.48985538701111e-10,"6","Runx3"
"Mxi1",9.33192161106214e-15,0.256458459907011,0.585,0.302,1.55871086669571e-10,"6","Mxi1"
"Rala",1.38741808198391e-14,0.299551533733476,0.85,0.551,2.31740442233773e-10,"6","Rala"
"Nmt11",1.99805646873793e-14,0.300910112839159,0.825,0.512,3.33735371973296e-10,"6","Nmt1"
"Tm2d21",2.93374127855632e-14,0.393086946341848,0.82,0.529,4.90022805757262e-10,"6","Tm2d2"
"Eif5b",3.078568081988e-14,0.289419676966709,0.935,0.685,5.14213226734455e-10,"6","Eif5b"
"Nap1l1",3.60531920258023e-14,0.280304631484654,0.89,0.568,6.02196466406976e-10,"6","Nap1l1"
"Ikbkb1",4.94504919594732e-14,0.253362505500498,0.81,0.493,8.25971567199081e-10,"6","Ikbkb"
"Atox13",5.06497040068228e-14,0.294808262758441,0.99,0.786,8.46002006025961e-10,"6","Atox1"
"Atpif1",8.40603001827055e-14,0.323745904500081,0.925,0.671,1.40405919395173e-09,"6","Atpif1"
"Arrdc41",9.67639640631602e-14,0.266929090767184,0.43,0.203,1.61624849174697e-09,"6","Arrdc4"
"Kdm6b1",1.50823233917616e-13,0.25206711722053,0.955,0.735,2.51920047612595e-09,"6","Kdm6b"
"Eif4e1",2.33409467232485e-13,0.423193299961293,0.87,0.624,3.8986383311842e-09,"6","Eif4e"
"Ppp1r111",4.3373571589479e-13,0.26286499896224,0.865,0.598,7.24468766259068e-09,"6","Ppp1r11"
"Cyb5a2",2.8293637902209e-12,0.30912099417779,0.88,0.605,4.72588633880597e-08,"6","Cyb5a"
"Gdi21",1.36231786947375e-11,0.254903212711516,0.94,0.72,2.27547953738201e-07,"6","Gdi2"
"Aprt2",1.44913962087785e-11,0.261889115786823,0.78,0.518,2.42049790875227e-07,"6","Aprt"
"Eprs2",3.46217659537634e-08,0.26160108906538,0.78,0.523,0.000578287356725709,"6","Eprs"
"Ms4a4b",6.21515074584784e-89,1.29993745520206,0.765,0.202,1.03811662907896e-84,"7","Ms4a4b"
"Cxcr3",1.09559774305355e-60,0.618580172668299,0.23,0.021,1.82997691022235e-56,"7","Cxcr3"
"Cd21",1.15484458150101e-52,1.07114243814099,0.88,0.551,1.92893690448114e-48,"7","Cd2"
"Cd28",4.22342654945652e-51,1.06993374159312,0.515,0.141,7.05438936555722e-47,"7","Cd28"
"Gm19585",1.12754799386082e-50,0.785459824977211,0.35,0.065,1.88334341414572e-46,"7","Gm19585"
