"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","cluster"
"75",1.36290213305416e-08,-0.329440659641804,0.587,0.247,2.72580426610831e-05,"Ccl1",3
"76",1.11452231259235e-06,-0.274551045810948,0.958,0.589,0.0022290446251847,"Tsc22d1",3
"77",0.000441331749649899,-0.28331199507505,0.754,0.544,0.882663499299799,"Cxcl2",3
"78",0.000457789312564401,-0.288867466488563,0.942,0.7,0.915578625128801,"Rrad",3
"79",0.0181948881147527,-0.269690480816752,0.954,0.628,1,"Cd7",3
"80",0.237085167911208,-0.312614096539443,0.677,0.617,1,"Il13",3
"81",0.282903308569883,-0.302566271087466,0.998,0.996,1,"Actb",3
"82",0.647982064765478,-0.256928427717943,0.979,0.846,1,"Fgl2",3
"83",1.60291010693479e-09,-0.341944731128317,0.876,0.512,3.20582021386957e-06,"Mmp12",4
"84",7.09007095698252e-09,-0.318924841249596,0.997,0.929,1.4180141913965e-05,"Mgl2",4
"85",1.87619060334771e-08,0.485472552639953,0.389,0.102,3.75238120669542e-05,"Saa3",4
"86",1.23690758453199e-06,-0.41953576346677,0.862,0.589,0.00247381516906398,"Hmox1",4
"87",3.88618873928593e-06,-0.940755440083582,0.94,0.618,0.00777237747857186,"Ccl17",4
"88",5.63353333321931e-05,-0.602679590280494,0.923,0.604,0.112670666664386,"Lyz1",4
"89",0.000154165732139683,-0.254779197207022,0.756,0.475,0.308331464279365,"Apod",4
"90",0.00447699296205663,-0.25099364899545,0.988,0.923,1,"Sdc4",4
"91",0.016627688251613,-0.301847452857417,0.89,0.608,1,"Ear2",4
"92",0.0221458049453636,-0.461401973207482,0.991,0.902,1,"Mt1",4
"93",0.111447994355224,-0.318803222624214,0.88,0.712,1,"Cxcl2",4
"94",0.131224383486116,0.330896935944275,0.537,0.301,1,"Il22",4
"95",0.206967183947536,0.321055481777263,0.675,0.616,1,"Ifitm1",4
"96",0.377631776433845,0.276695145557677,0.575,0.411,1,"Ccl4",4
"97",0.745347157801579,-0.476961220872248,0.979,0.803,1,"Mt2",4
"98",0.876088403703217,-0.302578361805843,0.776,0.68,1,"Ccl6",4
"99",9.68637308193022e-14,-0.512732497013292,0.98,0.684,1.93727461638604e-10,"Lyz1",5
"100",2.4928443577389e-12,-0.450438607999106,0.974,0.625,4.98568871547779e-09,"Ccl17",5
"101",1.83152878799919e-06,-0.34464288618772,0.946,0.678,0.00366305757599837,"Hbegf",5
"102",1.80510439618743e-05,0.320722753807531,0.762,0.539,0.0361020879237486,"Hspa1a",5
"103",3.13487326524795e-05,-0.25977141795507,1,1,0.062697465304959,"Ifitm2",5
"104",0.000115374773408764,-0.3882351625015,1,0.98,0.230749546817527,"Ifitm3",5
"105",0.000298744518475646,-0.412380589391734,0.989,0.974,0.597489036951291,"Cd14",5
"106",0.00359592448699571,-0.279879699913291,0.961,0.908,1,"Lst1",5
"107",0.00368132079336194,-0.449195420550129,0.994,0.98,1,"Il1b",5
"108",0.010063623896568,-0.259471494529135,0.956,0.954,1,"Ier3",5
"109",0.0105957498159004,-0.294714652891569,0.952,0.921,1,"Clec4e",5
"110",0.014346956324934,-0.390057492417131,0.911,0.895,1,"Thbs1",5
"111",0.0199918137358169,-0.318710342076852,0.817,0.822,1,"Ccr5",5
"112",0.0227617514234864,-0.352581944773759,0.978,0.908,1,"Ifi27l2a",5
"113",0.040054347549307,-0.377234522140933,0.902,0.849,1,"Slc16a3",5
"114",0.0433187756750453,-0.266219267189882,0.928,0.882,1,"Tgfbi",5
"115",0.0583290452008889,-0.383908932852106,0.983,0.803,1,"Timp1",5
"116",0.0775197989328628,-0.324990053089827,0.715,0.658,1,"Vcan",5
"117",0.0822078937458613,0.66164262718781,0.414,0.099,1,"Saa3",5
"118",0.124106838732773,-0.288189420689746,0.972,0.947,1,"Marcksl1",5
"119",0.130271986527805,-0.380903567525516,0.945,0.724,1,"Hmox1",5
"120",0.150540809917747,0.311665435010094,0.416,0.145,1,"S100a8",5
"121",0.17385459463251,-0.266235245785494,0.804,0.77,1,"Nrg1",5
